source_file	source_line	wc1_address	wc2_address	source_name	mapping_name	evidence	review_flags	status
src/cockpt.c	3008	00417F00	0043F849	PlayCockpitSelectionSfx	PlayCockpitSelectionSfx	WC1-fuzzy-low		mapped
src/cockpt.c	3015	00417F10	0043F862	vdu_pop_all	vdu_pop_all	WC1-fuzzy-followup		mapped
src/cockpt.c	3029	00417F60	0043F8CD	SelectCockpitVduMode	SelectCockpitVduMode	WC1-fuzzy-followup		mapped
src/debug.cpp	14	0041C760	0045AC50	DebugOverlayConsole::DebugOverlayConsole	DebugOverlayConsole::DebugOverlayConsole	WC1-callgraph-propagated		mapped
src/debug.cpp	77	0041C910	0040EEC7	DebugOverlayConsole::~DebugOverlayConsole	DebugOverlayConsole::~DebugOverlayConsole	WC1-fuzzy-followup		mapped
src/debug.cpp	92	0041C960	0045AEE4	DebugOverlayWorkerProc	DebugOverlayWorkerProc	WC1-callgraph-propagated		mapped
src/debug.cpp	140	0041CA60	0042E692	DebugKeyboardHookProc	DebugKeyboardHookProc	WC1-fuzzy-medium		mapped
src/debug.cpp	164	0041CAB0	0045B0BB	DebugOverlayPrintf	DebugOverlayPrintf	WC1-callgraph-propagated		mapped
src/debug.cpp	230	0041CC00	0045B2E0	DebugOverlayConsole::Clear	DebugOverlayConsole::Clear	WC1-order-exact		mapped
src/debug.cpp	239	0041CC50	0045B348	DebugOverlayConsole::Scroll	DebugOverlayConsole::Scroll	WC1-callgraph-propagated		mapped
src/debug.cpp	248	0041CCC0	0045B3DC	DebugOverlayConsole::DrawPendingLines	DebugOverlayConsole::DrawPendingLines	WC1-callgraph-propagated		mapped
src/debug.cpp	269	0041CD40	0045B49C	DebugOverlayConsole::WaitForKey	DebugOverlayConsole::WaitForKey	WC1-callgraph-propagated		mapped
src/debug.cpp	362	0041CF00	0045B5D8	DebugOverlayConsole::EnableReverseVideo	DebugOverlayConsole::EnableReverseVideo	WC1-callgraph-propagated		mapped
src/debug.cpp	382	0041CF50	0045B55C	DebugOverlayConsole::DisableReverseVideo	DebugOverlayConsole::DisableReverseVideo	WC1-callgraph-propagated		mapped
src/debug.cpp	402	0041CFA0	0045B654	DebugOverlayConsole::SetOverlayTextColor	DebugOverlayConsole::SetOverlayTextColor	WC1-manual-verified		mapped
src/debug.cpp	417	0041CFF0	0045B6BB	DebugOverlayConsole::SetOverlayBackgroundColor	DebugOverlayConsole::SetOverlayBackgroundColor	WC1-callgraph-propagated		mapped
